Time,iL1,iL2,V3,V1,vC1,vC2
1e-006,0.096,1.43998e-009,0.01,1,9.60058e-012,9.58787e-012
2e-006,0.192,4.79983e-009,0.02,1,4.80011e-011,4.79148e-011
3e-006,0.288,9.5995e-009,0.03,1,1.2e-010,1.19744e-010
4e-006,0.384,1.63188e-008,0.04,1,2.49595e-010,2.48966e-010
5e-006,0.48,2.49573e-008,0.05,1,4.5598e-010,4.54643e-010
6e-006,0.576,3.55149e-008,0.06,1,7.58346e-010,7.55794e-010
7e-006,0.672,4.79911e-008,0.07,1,1.17588e-009,1.1714e-009
8e-006,0.768,6.23853e-008,0.08,1,1.72777e-009,1.72039e-009
9e-006,0.864,7.8697e-008,0.09,1,2.43319e-009,2.42166e-009
1e-005,0.96,9.69255e-008,0.1,1,3.31131e-009,3.29405e-009
1.1e-005,1.056,1.1707e-007,0.11,1,4.3813e-009,4.35638e-009
1.2e-005,1.152,1.3913e-007,0.12,1,5.66231e-009,5.6274e-009
1.3e-005,1.248,1.63105e-007,0.13,1,7.1735e-009,7.12582e-009
1.4e-005,1.344,1.88992e-007,0.14,1,8.93399e-009,8.87031e-009
1.5e-005,1.44,2.16793e-007,0.15,1,1.09629e-008,1.08795e-008
1.6e-005,1.536,2.46504e-007,0.16,1,1.32794e-008,1.31719e-008
1.7e-005,1.632,2.78126e-007,0.17,1,1.59026e-008,1.57661e-008
1.8e-005,1.728,3.11657e-007,0.18,1,1.88515e-008,1.86806e-008
1.9e-005,1.824,3.47095e-007,0.19,1,2.21453e-008,2.19338e-008
2e-005,1.92,3.8444e-007,0.2,1,2.5803e-008,2.5544e-008
2.1e-005,2.016,4.23689e-007,0.21,1,2.98437e-008,2.95295e-008
2.2e-005,2.112,4.64842e-007,0.22,1,3.42864e-008,3.39087e-008
2.3e-005,2.208,5.07896e-007,0.23,1,3.91501e-008,3.86998e-008
2.4e-005,2.304,5.52849e-007,0.24,1,4.44538e-008,4.39209e-008
2.5e-005,2.4,5.99701e-007,0.25,1,5.02166e-008,4.95902e-008
2.6e-005,2.496,6.48449e-007,0.26,1,5.64574e-008,5.57256e-008
2.7e-005,2.592,6.99091e-007,0.27,1,6.31951e-008,6.23452e-008
2.8e-005,2.688,7.51626e-007,0.28,1,7.04487e-008,6.9467e-008
2.9e-005,2.784,8.06051e-007,0.29,1,7.82371e-008,7.71088e-008
3e-005,2.88,8.62363e-007,0.3,1,8.65792e-008,8.52885e-008
3.1e-005,2.976,9.20562e-007,0.31,1,9.54939e-008,9.40238e-008
3.2e-005,3.072,9.80644e-007,0.32,1,1.05e-007,1.03332e-007
