Time,Il,VD,V2,V3,Vout
1e-006,0.096,1,0.4,0.01,4.79281e-008
2e-006,0.192,1,0.4,0.02,9.57605e-008
3e-006,0.288,1,0.4,0.03,1.43521e-007
4e-006,0.384,1,0.4,0.04,1.91186e-007
5e-006,0.48,1,0.4,0.05,2.38757e-007
6e-006,0.576,1,0.4,0.06,2.86232e-007
7e-006,0.672,1,0.4,0.07,3.33612e-007
8e-006,0.768,1,0.4,0.08,3.80897e-007
9e-006,0.864,1,0.4,0.09,4.28088e-007
1e-005,0.96,1,0.4,0.1,4.75185e-007
1.1e-005,1.056,1,0.4,0.11,5.22188e-007
1.2e-005,1.152,1,0.4,0.12,5.69096e-007
1.3e-005,1.248,1,0.4,0.13,6.15911e-007
1.4e-005,1.344,1,0.4,0.14,6.62633e-007
1.5e-005,1.44,1,0.4,0.15,7.09261e-007
1.6e-005,1.536,1,0.4,0.16,7.55796e-007
1.7e-005,1.632,1,0.4,0.17,8.02238e-007
1.8e-005,1.728,1,0.4,0.18,8.48587e-007
1.9e-005,1.824,1,0.4,0.19,8.94843e-007
2e-005,1.92,1,0.4,0.2,9.41007e-007
2.1e-005,2.016,1,0.4,0.21,9.87079e-007
2.2e-005,2.112,1,0.4,0.22,1.03306e-006
2.3e-005,2.208,1,0.4,0.23,1.07895e-006
2.4e-005,2.304,1,0.4,0.24,1.12474e-006
2.5e-005,2.4,1,0.4,0.25,1.17045e-006
2.6e-005,2.496,1,0.4,0.26,1.21606e-006
2.7e-005,2.592,1,0.4,0.27,1.26158e-006
2.8e-005,2.688,1,0.4,0.28,1.30702e-006
2.9e-005,2.784,1,0.4,0.29,1.35236e-006
3e-005,2.88,1,0.4,0.3,1.39761e-006
3.1e-005,2.976,1,0.4,0.31,1.44277e-006
3.2e-005,3.072,1,0.4,0.32,1.48783e-006
3.3e-005,3.168,1,0.4,0.33,1.53281e-006
3.4e-005,3.264,1,0.4,0.34,1.5777e-006
3.5e-005,3.36,1,0.4,0.35,1.6225e-006
3.6e-005,3.456,1,0.4,0.36,1.66721e-006
3.7e-005,3.552,1,0.4,0.37,1.71183e-006
3.8e-005,3.648,1,0.4,0.38,1.75637e-006
3.9e-005,3.744,1,0.4,0.39,1.80081e-006
4e-005,3.84,1,0.4,0.4,1.84516e-006
4.1e-005,3.83994,0,0.4,0.41,-0.0383402
4.2e-005,3.83981,0,0.4,0.42,-0.0766045
4.3e-005,3.83962,0,0.4,0.43,-0.11481
4.4e-005,3.83935,0,0.4,0.44,-0.152937
4.5e-005,3.839,0,0.4,0.45,-0.190985
4.6e-005,3.83858,0,0.4,0.46,-0.228953
4.7e-005,3.83809,0,0.4,0.47,-0.26684
4.8e-005,3.83752,0,0.4,0.48,-0.304647
4.9e-005,3.83687,0,0.4,0.49,-0.342372
5e-005,3.83615,0,0.4,0.5,-0.380014
5.1e-005,3.83535,0,0.4,0.51,-0.417574
5.2e-005,3.83448,0,0.4,0.52,-0.455051
5.3e-005,3.83353,0,0.4,0.53,-0.492443
5.4e-005,3.83251,0,0.4,0.54,-0.529751
5.5e-005,3.83141,0,0.4,0.55,-0.566974
5.6e-005,3.83024,0,0.4,0.56,-0.604111
5.7e-005,3.82899,0,0.4,0.57,-0.641162
5.8e-005,3.82767,0,0.4,0.58,-0.678126
5.9e-005,3.82628,0,0.4,0.59,-0.715002
6e-005,3.82481,0,0.4,0.6,-0.751791
6.1e-005,3.82327,0,0.4,0.61,-0.788491
6.2e-005,3.82166,0,0.4,0.62,-0.825102
6.3e-005,3.81997,0,0.4,0.63,-0.861624
6.4e-005,3.81821,0,0.4,0.64,-0.898055
6.5e-005,3.81638,0,0.4,0.65,-0.934395
6.6e-005,3.81447,0,0.4,0.66,-0.970644
6.7e-005,3.8125,0,0.4,0.67,-1.0068
6.8e-005,3.81045,0,0.4,0.68,-1.04287
6.9e-005,3.80833,0,0.4,0.69,-1.07884
7e-005,3.80613,0,0.4,0.7,-1.11472
7.1e-005,3.80387,0,0.4,0.71,-1.1505
7.2e-005,3.80153,0,0.4,0.72,-1.18619
7.3e-005,3.79912,0,0.4,0.73,-1.22179
7.4e-005,3.79664,0,0.4,0.74,-1.25729
7.5e-005,3.79409,0,0.4,0.75,-1.29269
7.6e-005,3.79147,0,0.4,0.76,-1.328
7.7e-005,3.78878,0,0.4,0.77,-1.36321
7.8e-005,3.78602,0,0.4,0.78,-1.39832
7.9e-005,3.78319,0,0.4,0.79,-1.43333
8e-005,3.78029,0,0.4,0.8,-1.46825
8.1e-005,3.77731,0,0.4,0.81,-1.50307
8.2e-005,3.77427,0,0.4,0.82,-1.53778
8.3e-005,3.77116,0,0.4,0.83,-1.5724
8.4e-005,3.76798,0,0.4,0.84,-1.60692
8.5e-005,3.76474,0,0.4,0.85,-1.64133
8.6e-005,3.76142,0,0.4,0.86,-1.67565
8.7e-005,3.75803,0,0.4,0.87,-1.70986
8.8e-005,3.75458,0,0.4,0.88,-1.74397
8.9e-005,3.75106,0,0.4,0.89,-1.77797
