Time,iL,v,V1,V2
1e-006,0.096,0,0,1
2e-006,0.192,0,0,1
3e-006,0.288,0,0,1
4e-006,0.384,0,0,1
5e-006,0.48,0,0,1
6e-006,0.576,0,0,1
7e-006,0.672,0,0,1
8e-006,0.768,0,0,1
9e-006,0.864,0,0,1
1e-005,0.96,0,0,1
1.1e-005,1.056,0,0,1
1.2e-005,1.152,0,0,1
1.3e-005,1.248,0,0,1
1.4e-005,1.344,0,0,1
1.5e-005,1.44,0,0,1
1.6e-005,1.536,0,0,1
1.7e-005,1.632,0,0,1
1.8e-005,1.728,0,0,1
1.9e-005,1.824,0,0,1
2e-005,1.92,0,0,1
2.1e-005,2.016,0,0,1
2.2e-005,2.112,0,0,1
2.3e-005,2.208,0,0,1
2.4e-005,2.304,0,0,1
2.5e-005,2.4,0,0,1
2.6e-005,2.496,0,0,1
2.7e-005,2.592,0,0,1
2.8e-005,2.688,0,0,1
2.9e-005,2.784,0,0,1
3e-005,2.88,0,0,1
3.1e-005,2.976,0,0,1
3.2e-005,3.072,0,0,1
3.3e-005,3.168,0,0,1
3.4e-005,3.264,0,0,1
3.5e-005,3.36,0,0,1
3.6e-005,3.456,0,0,1
3.7e-005,3.552,0,0,1
3.8e-005,3.648,0,0,1
3.9e-005,3.744,0,0,1
4e-005,3.84,0,0,1
4.1e-005,3.83994,-0.0383421,1,0
4.2e-005,3.83981,-0.0766064,1,0
4.3e-005,3.83962,-0.114812,1,0
4.4e-005,3.83935,-0.152939,1,0
4.5e-005,3.839,-0.190987,1,0
4.6e-005,3.83858,-0.228955,1,0
4.7e-005,3.83809,-0.266843,1,0
4.8e-005,3.83752,-0.304649,1,0
4.9e-005,3.83687,-0.342374,1,0
5e-005,3.83615,-0.380017,1,0
5.1e-005,3.83535,-0.417577,1,0
5.2e-005,3.83448,-0.455053,1,0
5.3e-005,3.83353,-0.492446,1,0
5.4e-005,3.83251,-0.529754,1,0
5.5e-005,3.83141,-0.566976,1,0
5.6e-005,3.83024,-0.604114,1,0
5.7e-005,3.82899,-0.641164,1,0
5.8e-005,3.82767,-0.678128,1,0
5.9e-005,3.82628,-0.715005,1,0
6e-005,3.82481,-0.751794,1,0
6.1e-005,3.82327,-0.788494,1,0
6.2e-005,3.82166,-0.825105,1,0
6.3e-005,3.81997,-0.861626,1,0
6.4e-005,3.81821,-0.898058,1,0
6.5e-005,3.81638,-0.934398,1,0
6.6e-005,3.81447,-0.970647,1,0
6.7e-005,3.8125,-1.0068,1,0
6.8e-005,3.81045,-1.04287,1,0
6.9e-005,3.80833,-1.07884,1,0
7e-005,3.80613,-1.11472,1,0
7.1e-005,3.80387,-1.15051,1,0
7.2e-005,3.80153,-1.1862,1,0
7.3e-005,3.79912,-1.22179,1,0
7.4e-005,3.79664,-1.25729,1,0
7.5e-005,3.79409,-1.29269,1,0
7.6e-005,3.79147,-1.328,1,0
7.7e-005,3.78878,-1.36321,1,0
7.8e-005,3.78602,-1.39832,1,0
7.9e-005,3.78319,-1.43334,1,0
8e-005,3.78029,-1.46825,1,0
8.1e-005,3.77731,-1.50307,1,0
8.2e-005,3.77427,-1.53779,1,0
8.3e-005,3.77116,-1.5724,1,0
8.4e-005,3.76798,-1.60692,1,0
8.5e-005,3.76474,-1.64134,1,0
8.6e-005,3.76142,-1.67565,1,0
8.7e-005,3.75803,-1.70986,1,0
8.8e-005,3.75458,-1.74397,1,0
8.9e-005,3.75106,-1.77798,1,0
9e-005,3.74747,-1.81188,1,0
9.1e-005,3.74381,-1.84568,1,0
9.2e-005,3.74008,-1.87937,1,0
9.3e-005,3.73629,-1.91296,1,0
9.4e-005,3.73243,-1.94645,1,0
9.5e-005,3.72851,-1.97983,1,0
9.6e-005,3.72451,-2.0131,1,0
9.7e-005,3.72045,-2.04626,1,0
9.8e-005,3.71633,-2.07932,1,0
9.9e-005,3.71214,-2.11227,1,0
0.0001,3.70788,-2.14512,1,0
0.000101,3.70356,-2.17785,1,0
0.000102,3.69917,-2.21047,1,0
0.000103,3.69471,-2.24299,1,0
0.000104,3.69019,-2.2754,1,0
0.000105,3.68561,-2.30769,1,0
0.000106,3.68096,-2.33988,1,0
0.000107,3.67625,-2.37195,1,0
0.000108,3.67148,-2.40391,1,0
0.000109,3.66664,-2.43577,1,0
0.00011,3.66173,-2.4675,1,0
0.000111,3.65677,-2.49913,1,0
0.000112,3.65174,-2.53064,1,0
0.000113,3.64664,-2.56204,1,0
0.000114,3.64149,-2.59333,1,0
0.000115,3.63627,-2.6245,1,0
0.000116,3.63099,-2.65555,1,0
0.000117,3.62565,-2.6865,1,0
0.000118,3.62024,-2.71732,1,0
0.000119,3.61478,-2.74803,1,0
0.00012,3.60925,-2.77862,1,0
0.000121,3.60366,-2.8091,1,0
0.000122,3.59802,-2.83946,1,0
0.000123,3.59231,-2.8697,1,0
0.000124,3.58654,-2.89983,1,0
0.000125,3.58071,-2.92984,1,0
0.000126,3.57482,-2.95972,1,0
0.000127,3.56887,-2.98949,1,0
0.000128,3.56286,-3.01914,1,0
0.000129,3.55679,-3.04867,1,0
