Time,iL,v,V1,V2
1e-006,0.0942992,0,0,1
2e-006,0.186375,0,0,1
3e-006,0.276817,0,0,1
4e-006,0.365114,0,0,1
5e-006,0.451317,0,0,1
6e-006,0.535475,0,0,1
7e-006,0.617638,0,0,1
8e-006,0.697852,0,0,1
9e-006,0.776164,0,0,1
1e-005,0.852618,0,0,1
1.1e-005,0.92726,0,0,1
1.2e-005,1.00013,0,0,1
1.3e-005,1.07127,0,0,1
1.4e-005,1.14073,0,0,1
1.5e-005,1.20854,0,0,1
1.6e-005,1.27474,0,0,1
1.7e-005,1.33937,0,0,1
1.8e-005,1.40247,0,0,1
1.9e-005,1.46407,0,0,1
2e-005,1.52421,0,0,1
2.1e-005,1.58292,0,0,1
2.2e-005,1.64025,0,0,1
2.3e-005,1.69621,0,0,1
2.4e-005,1.75084,0,0,1
2.5e-005,1.80418,0,0,1
2.6e-005,1.85626,0,0,1
2.7e-005,1.9071,0,0,1
2.8e-005,1.95673,0,0,1
2.9e-005,2.00519,0,0,1
3e-005,2.0525,0,0,1
3.1e-005,2.09868,0,0,1
3.2e-005,2.14377,0,0,1
3.3e-005,2.18779,0,0,1
3.4e-005,2.23077,0,0,1
3.5e-005,2.27273,0,0,1
3.6e-005,2.31369,0,0,1
3.7e-005,2.35368,0,0,1
3.8e-005,2.39273,0,0,1
3.9e-005,2.43084,0,0,1
4e-005,2.46806,0,0,1
4.1e-005,2.50414,0.0249144,1,0
4.2e-005,2.53931,0.0501325,1,0
4.3e-005,2.57383,0.0755725,1,0
4.4e-005,2.60748,0.101302,1,0
4.5e-005,2.64028,0.127312,1,0
4.6e-005,2.67224,0.153594,1,0
4.7e-005,2.7034,0.180139,1,0
4.8e-005,2.73377,0.206937,1,0
4.9e-005,2.76336,0.233982,1,0
5e-005,2.7922,0.261265,1,0
5.1e-005,2.8203,0.288777,1,0
5.2e-005,2.84768,0.316512,1,0
5.3e-005,2.87435,0.344461,1,0
5.4e-005,2.90034,0.372617,1,0
5.5e-005,2.92566,0.400974,1,0
5.6e-005,2.95031,0.429523,1,0
5.7e-005,2.97433,0.458259,1,0
5.8e-005,2.99772,0.487173,1,0
5.9e-005,3.0205,0.516261,1,0
6e-005,3.04268,0.545515,1,0
6.1e-005,3.06427,0.574929,1,0
