Time,I(Le),I(L),Vc
1e-006,0.166577,-0.0149799,0.00272353
2e-006,0.333028,-0.0299314,0.00907591
3e-006,0.499382,-0.0448605,0.0181479
4e-006,0.665602,-0.0597586,0.030844
5e-006,0.831682,-0.0746239,0.0471606
6e-006,0.997617,-0.0894547,0.0670944
7e-006,1.1634,-0.104249,0.0906416
8e-006,1.32902,-0.119005,0.117798
9e-006,1.49449,-0.133722,0.148561
1e-005,1.65978,-0.148397,0.182925
1.1e-005,1.82489,-0.163028,0.220886
1.2e-005,1.98983,-0.177614,0.262439
1.3e-005,2.15458,-0.192154,0.307581
1.4e-005,2.31913,-0.206644,0.356306
1.5e-005,2.48349,-0.221085,0.40861
1.6e-005,2.64764,-0.235473,0.464487
1.7e-005,2.81159,-0.249807,0.523932
1.8e-005,2.97531,-0.264086,0.58694
1.9e-005,3.13882,-0.278307,0.653505
2e-005,3.30209,-0.29247,0.723622
2.1e-005,3.46514,-0.306571,0.797284
2.2e-005,3.62794,-0.320611,0.874487
2.3e-005,3.7905,-0.334586,0.955223
2.4e-005,3.95281,-0.348495,1.03949
2.5e-005,4.11487,-0.362337,1.12727
2.6e-005,4.27666,-0.376109,1.21857
2.7e-005,4.43818,-0.389811,1.31338
2.8e-005,4.59943,-0.40344,1.41169
2.9e-005,4.7604,-0.416994,1.51349
3e-005,4.92109,-0.430473,1.61878
3.1e-005,5.08149,-0.443874,1.72755
3.2e-005,5.24159,-0.457195,1.83979
3.3e-005,5.40139,-0.470436,1.9555
3.4e-005,5.56089,-0.483594,2.07466
3.5e-005,5.72007,-0.496668,2.19727
3.6e-005,5.87894,-0.509656,2.32333
3.7e-005,6.03748,-0.522557,2.45281
3.8e-005,6.19569,-0.535368,2.58572
3.9e-005,6.35357,-0.548089,2.72205
4e-005,6.51111,-0.560717,2.86179
4.1e-005,6.66831,-0.573251,3.00492
4.2e-005,6.82516,-0.585689,3.15144
4.3e-005,6.98165,-0.598031,3.30135
4.4e-005,7.13777,-0.610273,3.45463
4.5e-005,7.29354,-0.622415,3.61127
4.6e-005,7.44893,-0.634456,3.77126
4.7e-005,7.60394,-0.646392,3.9346
4.8e-005,7.75857,-0.658224,4.10127
