Time,iL,Vout,V2,V3
1e-006,0.095999,0.000719035,0.4,0.01
2e-006,0.191995,0.00239517,0.4,0.02
3e-006,0.287988,0.0047879,0.4,0.03
4e-006,0.383975,0.00813479,0.4,0.04
5e-006,0.479954,0.0124339,0.4,0.05
6e-006,0.575924,0.0176831,0.4,0.06
7e-006,0.671883,0.0238806,0.4,0.07
8e-006,0.767828,0.0310243,0.4,0.08
9e-006,0.863758,0.0391121,0.4,0.09
1e-005,0.95967,0.0481419,0.4,0.1
1.1e-005,1.05556,0.0581119,0.4,0.11
1.2e-005,1.15144,0.0690197,0.4,0.12
1.3e-005,1.24729,0.0808635,0.4,0.13
1.4e-005,1.34311,0.093641,0.4,0.14
1.5e-005,1.43891,0.10735,0.4,0.15
1.6e-005,1.53468,0.121989,0.4,0.16
1.7e-005,1.63042,0.137555,0.4,0.17
1.8e-005,1.72613,0.154046,0.4,0.18
1.9e-005,1.82181,0.17146,0.4,0.19
2e-005,1.91744,0.189795,0.4,0.2
2.1e-005,2.01304,0.209049,0.4,0.21
2.2e-005,2.10861,0.229219,0.4,0.22
2.3e-005,2.20413,0.250303,0.4,0.23
2.4e-005,2.2996,0.272299,0.4,0.24
2.5e-005,2.39504,0.295205,0.4,0.25
2.6e-005,2.49042,0.319018,0.4,0.26
2.7e-005,2.58576,0.343736,0.4,0.27
2.8e-005,2.68105,0.369357,0.4,0.28
2.9e-005,2.77628,0.395878,0.4,0.29
3e-005,2.87146,0.423298,0.4,0.3
3.1e-005,2.96659,0.451613,0.4,0.31
3.2e-005,3.06165,0.480822,0.4,0.32
3.3e-005,3.15666,0.510922,0.4,0.33
3.4e-005,3.25161,0.54191,0.4,0.34
3.5e-005,3.34649,0.573785,0.4,0.35
3.6e-005,3.44131,0.606544,0.4,0.36
3.7e-005,3.53607,0.640184,0.4,0.37
3.8e-005,3.63075,0.674703,0.4,0.38
3.9e-005,3.72537,0.710099,0.4,0.39
4e-005,3.81991,0.746369,0.4,0.4
4.1e-005,3.72236,0.782289,0.4,0.41
4.2e-005,3.62475,0.817164,0.4,0.42
4.3e-005,3.52708,0.851255,0.4,0.43
4.4e-005,3.42934,0.884301,0.4,0.44
4.5e-005,3.33154,0.916305,0.4,0.45
4.6e-005,3.23368,0.947267,0.4,0.46
4.7e-005,3.13575,0.97719,0.4,0.47
4.8e-005,3.03777,1.00607,0.4,0.48
4.9e-005,2.93973,1.03392,0.4,0.49
5e-005,2.84163,1.06073,0.4,0.5
5.1e-005,2.74349,1.08651,0.4,0.51
5.2e-005,2.64529,1.11126,0.4,0.52
5.3e-005,2.54704,1.13497,0.4,0.53
5.4e-005,2.44875,1.15766,0.4,0.54
5.5e-005,2.35041,1.17932,0.4,0.55
5.6e-005,2.25203,1.19995,0.4,0.56
5.7e-005,2.15361,1.21956,0.4,0.57
5.8e-005,2.05516,1.23815,0.4,0.58
5.9e-005,1.95666,1.25571,0.4,0.59
6e-005,1.85813,1.27226,0.4,0.6
6.1e-005,1.75957,1.28779,0.4,0.61
6.2e-005,1.66098,1.3023,0.4,0.62
6.3e-005,1.56236,1.3158,0.4,0.63
6.4e-005,1.46372,1.32828,0.4,0.64
6.5e-005,1.36505,1.33976,0.4,0.65
6.6e-005,1.26636,1.35023,0.4,0.66
6.7e-005,1.16765,1.35969,0.4,0.67
6.8e-005,1.06892,1.36814,0.4,0.68
6.9e-005,0.970181,1.37559,0.4,0.69
7e-005,0.871423,1.38204,0.4,0.7
7.1e-005,0.772654,1.3875,0.4,0.71
7.2e-005,0.673874,1.39195,0.4,0.72
7.3e-005,0.575087,1.39541,0.4,0.73
7.4e-005,0.476294,1.39787,0.4,0.74
7.5e-005,0.377496,1.39934,0.4,0.75
7.6e-005,0.278697,1.39982,0.4,0.76
7.7e-005,0.179898,1.39932,0.4,0.77
7.8e-005,0.0811009,1.39783,0.4,0.78
7.9e-005,-0.0176922,1.39535,0.4,0.79
8e-005,-0.116479,1.39189,0.4,0.8
8.1e-005,-0.215259,1.38745,0.4,0.81
8.2e-005,-0.314028,1.38204,0.4,0.82
8.3e-005,-0.412786,1.37565,0.4,0.83
8.4e-005,-0.51153,1.36828,0.4,0.84
8.5e-005,-0.610258,1.35994,0.4,0.85
8.6e-005,-0.708969,1.35064,0.4,0.86
8.7e-005,-0.80766,1.34036,0.4,0.87
8.8e-005,-0.906329,1.32912,0.4,0.88
8.9e-005,-1.00498,1.31692,0.4,0.89
9e-005,-1.1036,1.30376,0.4,0.9
9.1e-005,-1.20219,1.28963,0.4,0.91
9.2e-005,-1.30075,1.27455,0.4,0.92
9.3e-005,-1.39929,1.25852,0.4,0.93
9.4e-005,-1.49779,1.24154,0.4,0.94
9.5e-005,-1.59625,1.2236,0.4,0.95
9.6e-005,-1.69468,1.20472,0.4,0.96
9.7e-005,-1.79307,1.18489,0.4,0.97
9.8e-005,-1.89142,1.16412,0.4,0.98
9.9e-005,-1.98972,1.14241,0.4,0.99
0.0001,-2.08799,1.11976,0.4,1
0.000101,-2.1862,1.09617,0.4,0.99
0.000102,-2.28437,1.07165,0.4,0.98
0.000103,-2.38249,1.0462,0.4,0.97
0.000104,-2.48055,1.01981,0.4,0.96
0.000105,-2.57857,0.992506,0.4,0.95
0.000106,-2.67652,0.964274,0.4,0.94
0.000107,-2.77442,0.93512,0.4,0.93
0.000108,-2.87226,0.905046,0.4,0.92
0.000109,-2.97004,0.874056,0.4,0.91
0.00011,-3.06776,0.842151,0.4,0.9
0.000111,-3.16541,0.809333,0.4,0.89
0.000112,-3.26299,0.775606,0.4,0.88
0.000113,-3.36051,0.740972,0.4,0.87
0.000114,-3.45796,0.705433,0.4,0.86
0.000115,-3.55533,0.668993,0.4,0.85
0.000116,-3.65263,0.631652,0.4,0.84
0.000117,-3.74986,0.593415,0.4,0.83
0.000118,-3.847,0.554283,0.4,0.82
0.000119,-3.94407,0.514259,0.4,0.81
0.00012,-4.04106,0.473346,0.4,0.8
0.000121,-4.13796,0.431546,0.4,0.79
0.000122,-4.23478,0.388861,0.4,0.78
0.000123,-4.33152,0.345296,0.4,0.77
0.000124,-4.42816,0.300851,0.4,0.76
0.000125,-4.52472,0.25553,0.4,0.75
0.000126,-4.62118,0.209336,0.4,0.74
