Time,I(L1),Vout
1e-006,-0.0959956,0.00326458
2e-006,-0.191978,0.0108675
3e-006,-0.287946,0.0217133
4e-006,-0.383887,0.0368715
5e-006,-0.479794,0.0563244
6e-006,-0.575657,0.0800538
7e-006,-0.671469,0.108042
8e-006,-0.767221,0.140269
9e-006,-0.862904,0.176717
1e-005,-0.95851,0.217367
1.1e-005,-1.05403,0.262198
1.2e-005,-1.14946,0.311192
1.3e-005,-1.24478,0.364327
1.4e-005,-1.34,0.421584
1.5e-005,-1.244,0.419992
1.6e-005,-1.148,0.418405
1.7e-005,-1.052,0.416824
1.8e-005,-0.955995,0.415248
1.9e-005,-0.859995,0.413678
2e-005,-0.763995,0.412115
2.1e-005,-0.859117,0.448422
2.2e-005,-0.95416,0.4889
2.3e-005,-1.04914,0.532496
2.4e-005,-1.14403,0.580233
2.5e-005,-1.23881,0.632093
2.6e-005,-1.33349,0.688054
2.7e-005,-1.42806,0.748097
2.8e-005,-1.5225,0.8122
2.9e-005,-1.6168,0.880342
3e-005,-1.71097,0.952502
3.1e-005,-1.80499,1.02866
3.2e-005,-1.89885,1.10879
3.3e-005,-1.99255,1.19287
3.4e-005,-2.08608,1.28088
3.5e-005,-1.99008,1.27604
3.6e-005,-1.89408,1.27122
3.7e-005,-1.79808,1.26642
3.8e-005,-1.70208,1.26163
3.9e-005,-1.60608,1.25686
4e-005,-1.51008,1.25211
4.1e-005,-1.60347,1.319
4.2e-005,-1.69673,1.38987
4.3e-005,-1.78987,1.46371
4.4e-005,-1.88287,1.54149
4.5e-005,-1.9757,1.62319
4.6e-005,-2.06837,1.70879
4.7e-005,-2.16087,1.79827
4.8e-005,-2.25318,1.8916
4.9e-005,-2.34529,1.98876
5e-005,-2.43722,2.08973
5.1e-005,-2.52893,2.19448
5.2e-005,-2.62043,2.30299
5.3e-005,-2.71172,2.41524
5.4e-005,-2.80277,2.5312
5.5e-005,-2.70677,2.52164
5.6e-005,-2.61077,2.51212
5.7e-005,-2.51477,2.50262
5.8e-005,-2.41877,2.49316
5.9e-005,-2.32277,2.48374
6e-005,-2.22677,2.47435
6.1e-005,-2.31768,2.56902
6.2e-005,-2.40839,2.66745
6.3e-005,-2.49896,2.76869
6.4e-005,-2.58931,2.87365
6.5e-005,-2.67946,2.9823
6.6e-005,-2.76938,3.09463
6.7e-005,-2.85908,3.21061
6.8e-005,-2.94853,3.33021
6.9e-005,-3.03775,3.45341
7e-005,-3.12672,3.58019
7.1e-005,-3.21543,3.71053
7.2e-005,-3.30387,3.84438
7.3e-005,-3.39205,3.98174
7.4e-005,-3.47994,4.12257
7.5e-005,-3.38394,4.107
7.6e-005,-3.28794,4.09149
7.7e-005,-3.19194,4.07602
7.8e-005,-3.09594,4.06061
7.9e-005,-2.99994,4.04526
8e-005,-2.90394,4.02997
8.1e-005,-2.9917,4.14935
8.2e-005,-3.07922,4.27226
8.3e-005,-3.16655,4.39779
8.4e-005,-3.25362,4.5268
8.5e-005,-3.34044,4.65926
8.6e-005,-3.42698,4.79516
8.7e-005,-3.51325,4.93447
8.8e-005,-3.59924,5.07716
8.9e-005,-3.68494,5.2232
9e-005,-3.77034,5.37257
9.1e-005,-3.85545,5.52524
9.2e-005,-3.94024,5.68119
9.3e-005,-4.02472,5.84039
9.4e-005,-4.10888,6.00282
9.5e-005,-4.01288,5.98014
9.6e-005,-3.91687,5.95756
9.7e-005,-3.82087,5.93503
9.8e-005,-3.72487,5.91259
9.9e-005,-3.62887,5.89024
0.0001,-3.53287,5.86797
0.000101,-3.61693,6.0088
0.000102,-3.70069,6.15289
0.000103,-3.78424,6.29942
0.000104,-3.86749,6.44918
0.000105,-3.95044,6.60214
0.000106,-4.03308,6.75828
0.000107,-4.1154,6.91757
0.000108,-4.19741,7.07999
0.000109,-4.27908,7.2455
0.00011,-4.36042,7.41409
0.000111,-4.44142,7.58573
0.000112,-4.52208,7.76038
0.000113,-4.60238,7.93802
0.000114,-4.68232,8.11862
0.000115,-4.58632,8.08796
0.000116,-4.49032,8.05741
0.000117,-4.39432,8.02695
0.000118,-4.29832,7.9966
0.000119,-4.20232,7.96637
0.00012,-4.10632,7.93625
0.000121,-4.18621,8.09511
0.000122,-4.26578,8.25699
0.000123,-4.3451,8.4211
0.000124,-4.42409,8.58819
0.000125,-4.50274,8.75822
0.000126,-4.58105,8.93116
0.000127,-4.65901,9.107
0.000128,-4.73662,9.2857
0.000129,-4.81387,9.46724
0.00013,-4.89075,9.65159
0.000131,-4.96726,9.83873
0.000132,-5.04339,10.0286
0.000133,-5.11914,10.2212
0.000134,-5.1945,10.4165
0.000135,-5.0985,10.3772
0.000136,-5.0025,10.338
0.000137,-4.9065,10.2989
0.000138,-4.8105,10.26
0.000139,-4.7145,10.2212
0.00014,-4.6185,10.1825
0.000141,-4.69388,10.356
