Time,iL1,iL2,V3,V1,vC1,vC2
1e-006,0.096,1.43999e-009,0.01,1,9.60065e-012,7.19029e-016
2e-006,0.192,4.79992e-009,0.02,1,4.80017e-011,2.39514e-015
3e-006,0.288,9.59975e-009,0.03,1,1.20002e-010,4.78786e-015
4e-006,0.384,1.63194e-008,0.04,1,2.49601e-010,8.13472e-015
5e-006,0.48,2.49587e-008,0.05,1,4.55996e-010,1.24338e-014
6e-006,0.576,3.55175e-008,0.06,1,7.58382e-010,1.7683e-014
7e-006,0.672,4.79955e-008,0.07,1,1.17595e-009,2.38804e-014
8e-006,0.768,6.23926e-008,0.08,1,1.7279e-009,3.1024e-014
9e-006,0.864,7.87084e-008,0.09,1,2.43341e-009,3.91117e-014
1e-005,0.96,9.69427e-008,0.1,1,3.31168e-009,4.81415e-014
1.1e-005,1.056,1.17095e-007,0.11,1,4.38188e-009,5.81113e-014
1.2e-005,1.152,1.39165e-007,0.12,1,5.66319e-009,6.9019e-014
1.3e-005,1.248,1.63152e-007,0.13,1,7.17479e-009,8.08626e-014
1.4e-005,1.344,1.89056e-007,0.14,1,8.93584e-009,9.36399e-014
1.5e-005,1.44,2.16876e-007,0.15,1,1.09655e-008,1.07349e-013
1.6e-005,1.536,2.46612e-007,0.16,1,1.3283e-008,1.21987e-013
1.7e-005,1.632,2.78263e-007,0.17,1,1.59074e-008,1.37553e-013
1.8e-005,1.728,3.11828e-007,0.18,1,1.88578e-008,1.54044e-013
1.9e-005,1.824,3.47307e-007,0.19,1,2.21535e-008,1.71458e-013
2e-005,1.92,3.84699e-007,0.2,1,2.58136e-008,1.89792e-013
2.1e-005,2.016,4.24003e-007,0.21,1,2.98571e-008,2.09045e-013
2.2e-005,2.112,4.65219e-007,0.22,1,3.43032e-008,2.29215e-013
2.3e-005,2.208,5.08345e-007,0.23,1,3.91711e-008,2.50298e-013
2.4e-005,2.304,5.53382e-007,0.24,1,4.44797e-008,2.72294e-013
2.5e-005,2.4,6.00327e-007,0.25,1,5.02483e-008,2.95199e-013
2.6e-005,2.496,6.4918e-007,0.26,1,5.64959e-008,3.19011e-013
2.7e-005,2.592,6.9994e-007,0.27,1,6.32415e-008,3.43728e-013
2.8e-005,2.688,7.52607e-007,0.28,1,7.05042e-008,3.69348e-013
2.9e-005,2.784,8.07178e-007,0.29,1,7.83032e-008,3.95868e-013
3e-005,2.88,8.63653e-007,0.3,1,8.66574e-008,4.23286e-013
