Time,I,V
1e-006,0.035,-2.91064e-008
2e-006,0.07,-5.81268e-008
3e-006,0.105,-8.70827e-008
4e-006,0.14,-1.15953e-007
5e-006,0.175,-1.44738e-007
6e-006,0.21,-1.73438e-007
7e-006,0.209993,0.0111729
8e-006,0.209978,0.0223122
9e-006,0.209955,0.033426
1e-005,0.209924,0.0445054
1.1e-005,0.209884,0.0555502
1.2e-005,0.209835,0.06656
1.3e-005,0.209778,0.0775343
1.4e-005,0.209711,0.0884729
1.5e-005,0.209636,0.0993753
1.6e-005,0.209552,0.110241
1.7e-005,0.20946,0.12107
1.8e-005,0.209358,0.131862
1.9e-005,0.209249,0.142617
2e-005,0.20913,0.153333
2.1e-005,0.24413,0.15288
2.2e-005,0.27913,0.152428
2.3e-005,0.31413,0.151977
2.4e-005,0.34913,0.151527
2.5e-005,0.38413,0.151079
2.6e-005,0.41913,0.150632
2.7e-005,0.418997,0.172483
2.8e-005,0.418846,0.194262
2.9e-005,0.418681,0.215987
3e-005,0.4185,0.237638
3.1e-005,0.418301,0.259214
3.2e-005,0.418085,0.280716
3.3e-005,0.417852,0.302143
3.4e-005,0.417602,0.323493
3.5e-005,0.417334,0.344766
3.6e-005,0.41705,0.365961
3.7e-005,0.416749,0.387078
3.8e-005,0.416431,0.408116
3.9e-005,0.416096,0.429075
4e-005,0.415744,0.449953
4.1e-005,0.450744,0.448623
4.2e-005,0.485744,0.447297
4.3e-005,0.520744,0.445973
4.4e-005,0.555744,0.444654
4.5e-005,0.590744,0.443338
4.6e-005,0.625744,0.442026
4.7e-005,0.625371,0.474002
4.8e-005,0.624973,0.505862
4.9e-005,0.624555,0.537635
5e-005,0.624113,0.569291
5.1e-005,0.623645,0.600829
5.2e-005,0.623151,0.632248
5.3e-005,0.622633,0.663548
5.4e-005,0.62209,0.694726
5.5e-005,0.621521,0.725783
5.6e-005,0.620928,0.756717
5.7e-005,0.620311,0.787527
5.8e-005,0.619668,0.818212
5.9e-005,0.619001,0.848772
6e-005,0.61831,0.879205
6.1e-005,0.65331,0.876605
6.2e-005,0.68831,0.874014
6.3e-005,0.72331,0.871428
6.4e-005,0.75831,0.86885
6.5e-005,0.79331,0.866279
6.6e-005,0.82831,0.863716
6.7e-005,0.827594,0.905211
6.8e-005,0.826845,0.946543
6.9e-005,0.826071,0.987754
7e-005,0.825265,1.0288
7.1e-005,0.824425,1.06968
7.2e-005,0.823553,1.1104
7.3e-005,0.822649,1.15094
7.4e-005,0.821712,1.19132
7.5e-005,0.820742,1.23153
7.6e-005,0.819741,1.27156
7.7e-005,0.818708,1.31143
7.8e-005,0.817643,1.35112
7.9e-005,0.816546,1.39063
8e-005,0.815418,1.42997
8.1e-005,0.850418,1.42574
8.2e-005,0.885418,1.42153
8.3e-005,0.920418,1.41732
8.4e-005,0.955418,1.41313
8.5e-005,0.990418,1.40895
8.6e-005,1.02542,1.40478
8.7e-005,1.02426,1.45514
8.8e-005,1.02307,1.5053
8.9e-005,1.02184,1.55529
9e-005,1.02058,1.60508
9.1e-005,1.01928,1.65464
9.2e-005,1.01793,1.70399
9.3e-005,1.01655,1.75312
9.4e-005,1.01513,1.80203
9.5e-005,1.01367,1.85071
9.6e-005,1.01217,1.89918
9.7e-005,1.01063,1.94742
9.8e-005,1.00905,1.99544
9.9e-005,1.00744,2.04322
0.0001,1.00578,2.09078
0.000101,1.04078,2.0846
0.000102,1.07578,2.07844
0.000103,1.11078,2.07229
0.000104,1.14578,2.06616
0.000105,1.18078,2.06004
0.000106,1.21578,2.05395
0.000107,1.2141,2.11251
0.000108,1.21238,2.1708
0.000109,1.21062,2.22889
0.00011,1.20881,2.28672
0.000111,1.20696,2.34428
0.000112,1.20506,2.40156
0.000113,1.20312,2.45858
0.000114,1.20113,2.51532
0.000115,1.19909,2.57179
0.000116,1.19701,2.62798
0.000117,1.19489,2.68389
0.000118,1.19272,2.73953
0.000119,1.1905,2.79488
0.00012,1.18825,2.84995
0.000121,1.22325,2.84152
0.000122,1.25825,2.83312
0.000123,1.29325,2.82474
0.000124,1.32825,2.81638
0.000125,1.36325,2.80805
0.000126,1.39825,2.79974
0.000127,1.39597,2.86578
0.000128,1.39363,2.9315
0.000129,1.39126,2.99698
0.00013,1.38884,3.06213
0.000131,1.38636,3.12697
0.000132,1.38384,3.19148
0.000133,1.38126,3.25566
0.000134,1.37863,3.31951
0.000135,1.37595,3.38304
0.000136,1.37321,3.44623
0.000137,1.37043,3.50909
0.000138,1.3676,3.57161
0.000139,1.36472,3.63379
0.00014,1.36179,3.69564
0.000141,1.39679,3.68472
0.000142,1.43179,3.67382
0.000143,1.46679,3.66295
