Time,iL,v
1e-006,0.096,4.79281e-008
2e-006,0.192,9.57605e-008
3e-006,0.288,1.43521e-007
4e-006,0.384,1.91186e-007
5e-006,0.48,2.38757e-007
6e-006,0.576,2.86232e-007
7e-006,0.672,3.33612e-007
8e-006,0.768,3.80897e-007
9e-006,0.864,4.28088e-007
1e-005,0.96,4.75185e-007
1.1e-005,1.056,5.22188e-007
1.2e-005,1.152,5.69096e-007
1.3e-005,1.248,6.15911e-007
1.4e-005,1.344,6.62633e-007
1.5e-005,1.44,7.09261e-007
1.6e-005,1.536,7.55796e-007
1.7e-005,1.632,8.02238e-007
1.8e-005,1.728,8.48587e-007
1.9e-005,1.824,8.94843e-007
2e-005,1.92,9.41007e-007
2.1e-005,2.016,9.87079e-007
2.2e-005,2.112,1.03306e-006
2.3e-005,2.208,1.07895e-006
2.4e-005,2.304,1.12474e-006
2.5e-005,2.4,1.17045e-006
2.6e-005,2.496,1.21606e-006
2.7e-005,2.592,1.26158e-006
2.8e-005,2.688,1.30702e-006
2.9e-005,2.784,1.35236e-006
3e-005,2.88,1.39761e-006
3.1e-005,2.976,1.44277e-006
3.2e-005,3.072,1.48783e-006
3.3e-005,3.168,1.53281e-006
3.4e-005,3.264,1.5777e-006
3.5e-005,3.36,1.6225e-006
3.6e-005,3.456,1.66721e-006
3.7e-005,3.552,1.71183e-006
3.8e-005,3.648,1.75637e-006
3.9e-005,3.744,1.80081e-006
4e-005,3.84,1.84516e-006
4.1e-005,3.83994,-0.0383402
4.2e-005,3.83981,-0.0766045
4.3e-005,3.83962,-0.11481
4.4e-005,3.83935,-0.152937
4.5e-005,3.839,-0.190985
4.6e-005,3.83858,-0.228953
4.7e-005,3.83809,-0.26684
4.8e-005,3.83752,-0.304647
4.9e-005,3.83687,-0.342372
5e-005,3.83615,-0.380014
5.1e-005,3.83535,-0.417574
5.2e-005,3.83448,-0.455051
5.3e-005,3.83353,-0.492443
5.4e-005,3.83251,-0.529751
5.5e-005,3.83141,-0.566974
5.6e-005,3.83024,-0.604111
5.7e-005,3.82899,-0.641162
5.8e-005,3.82767,-0.678126
5.9e-005,3.82628,-0.715002
6e-005,3.82481,-0.751791
6.1e-005,3.82327,-0.788491
6.2e-005,3.82166,-0.825102
6.3e-005,3.81997,-0.861624
6.4e-005,3.81821,-0.898055
6.5e-005,3.81638,-0.934395
6.6e-005,3.81447,-0.970644
6.7e-005,3.8125,-1.0068
6.8e-005,3.81045,-1.04287
6.9e-005,3.80833,-1.07884
7e-005,3.80613,-1.11472
7.1e-005,3.80387,-1.1505
7.2e-005,3.80153,-1.18619
7.3e-005,3.79912,-1.22179
7.4e-005,3.79664,-1.25729
7.5e-005,3.79409,-1.29269
7.6e-005,3.79147,-1.328
7.7e-005,3.78878,-1.36321
7.8e-005,3.78602,-1.39832
