Time,iL1,iL2,vC1,vC2,V2,V3,V1
1e-006,0.0479998,2.39997e-007,0.000359997,1.49819e-009,0.4,0.01,1
2e-006,0.0959988,1.19997e-006,0.00119998,1.0483e-008,0.4,0.02,1
3e-006,0.143997,2.99991e-006,0.00239994,3.14405e-008,0.4,0.03,1
4e-006,0.191994,6.23975e-006,0.00407984,7.75299e-008,0.4,0.04,1
5e-006,0.239989,1.13994e-005,0.00623967,1.65483e-007,0.4,0.05,1
6e-006,0.287981,1.89587e-005,0.00887936,3.1679e-007,0.4,0.06,1
7e-006,0.335971,2.93973e-005,0.0119989,5.57696e-007,0.4,0.07,1
8e-006,0.383957,4.31951e-005,0.0155982,9.19181e-007,0.4,0.08,1
9e-006,0.431939,6.08316e-005,0.0196771,1.43696e-006,0.4,0.09,1
1e-005,0.479917,8.27862e-005,0.0242357,2.15146e-006,0.4,0.1,1
1.1e-005,0.52789,0.000109538,0.0292738,3.10782e-006,0.4,0.11,1
1.2e-005,0.575858,0.000141567,0.0347912,4.35588e-006,0.4,0.12,1
1.3e-005,0.623821,0.000179352,0.040788,5.95017e-006,0.4,0.13,1
1.4e-005,0.671777,0.000223371,0.047264,7.94988e-006,0.4,0.14,1
1.5e-005,0.719726,0.000274103,0.054219,1.04189e-005,0.4,0.15,1
1.6e-005,0.767668,0.000332027,0.061653,1.34257e-005,0.4,0.16,1
1.7e-005,0.815602,0.000397621,0.0695657,1.70435e-005,0.4,0.17,1
1.8e-005,0.863529,0.000471363,0.077957,2.135e-005,0.4,0.18,1
1.9e-005,0.911446,0.000553731,0.0868267,2.64277e-005,0.4,0.19,1
2e-005,0.959355,0.000645202,0.0961747,3.23636e-005,0.4,0.2,1
2.1e-005,1.00725,0.000746254,0.106001,3.92492e-005,0.4,0.21,1
2.2e-005,1.05514,0.000857364,0.116305,4.71809e-005,0.4,0.22,1
2.3e-005,1.10302,0.000979008,0.127086,5.62593e-005,0.4,0.23,1
2.4e-005,1.15089,0.00111166,0.138346,6.65898e-005,0.4,0.24,1
2.5e-005,1.19874,0.0012558,0.150082,7.82823e-005,0.4,0.25,1
2.6e-005,1.24659,0.00141191,0.162295,9.14511e-005,0.4,0.26,1
2.7e-005,1.29442,0.00158045,0.174985,0.000106215,0.4,0.27,1
2.8e-005,1.34224,0.0017619,0.188152,0.000122698,0.4,0.28,1
2.9e-005,1.39004,0.00195674,0.201795,0.000141028,0.4,0.29,1
3e-005,1.43783,0.00216545,0.215913,0.000161336,0.4,0.3,1
