Time,iL,Vout,V2,V3
1e-006,0.095999,0.000719035,0.4,0.01
2e-006,0.191995,0.00239517,0.4,0.02
3e-006,0.287988,0.0047879,0.4,0.03
4e-006,0.383975,0.00813479,0.4,0.04
5e-006,0.479954,0.0124339,0.4,0.05
6e-006,0.575924,0.0176831,0.4,0.06
7e-006,0.671883,0.0238806,0.4,0.07
8e-006,0.767828,0.0310243,0.4,0.08
9e-006,0.863758,0.0391121,0.4,0.09
1e-005,0.95967,0.0481419,0.4,0.1
1.1e-005,1.05556,0.0581119,0.4,0.11
1.2e-005,1.15144,0.0690197,0.4,0.12
1.3e-005,1.24729,0.0808635,0.4,0.13
1.4e-005,1.34311,0.093641,0.4,0.14
1.5e-005,1.43891,0.10735,0.4,0.15
1.6e-005,1.53468,0.121989,0.4,0.16
1.7e-005,1.63042,0.137555,0.4,0.17
1.8e-005,1.72613,0.154046,0.4,0.18
1.9e-005,1.82181,0.17146,0.4,0.19
2e-005,1.91744,0.189795,0.4,0.2
2.1e-005,2.01304,0.209049,0.4,0.21
2.2e-005,2.10861,0.229219,0.4,0.22
2.3e-005,2.20413,0.250303,0.4,0.23
2.4e-005,2.2996,0.272299,0.4,0.24
2.5e-005,2.39504,0.295205,0.4,0.25
2.6e-005,2.49042,0.319018,0.4,0.26
2.7e-005,2.58576,0.343736,0.4,0.27
2.8e-005,2.68105,0.369357,0.4,0.28
2.9e-005,2.77628,0.395878,0.4,0.29
3e-005,2.87146,0.423298,0.4,0.3
3.1e-005,2.96659,0.451613,0.4,0.31
3.2e-005,3.06165,0.480822,0.4,0.32
3.3e-005,3.15666,0.510922,0.4,0.33
3.4e-005,3.25161,0.54191,0.4,0.34
3.5e-005,3.34649,0.573785,0.4,0.35
3.6e-005,3.44131,0.606544,0.4,0.36
3.7e-005,3.53607,0.640184,0.4,0.37
3.8e-005,3.63075,0.674703,0.4,0.38
3.9e-005,3.72537,0.710099,0.4,0.39
4e-005,3.81991,0.746369,0.4,0.4
4.1e-005,3.91734,0.706006,0.4,0.41
4.2e-005,4.01469,0.664753,0.4,0.42
4.3e-005,4.11198,0.622832,0.4,0.43
4.4e-005,4.20918,0.580023,0.4,0.44
4.5e-005,4.3063,0.536329,0.4,0.45
4.6e-005,4.40333,0.491753,0.4,0.46
4.7e-005,4.50026,0.446297,0.4,0.47
4.8e-005,4.59711,0.399964,0.4,0.48
4.9e-005,4.69386,0.352756,0.4,0.49
5e-005,4.79052,0.304677,0.4,0.5
5.1e-005,4.88708,0.255729,0.4,0.51
5.2e-005,4.98354,0.205914,0.4,0.52
5.3e-005,5.0799,0.155236,0.4,0.53
5.4e-005,5.17616,0.103696,0.4,0.54
5.5e-005,5.27232,0.0512989,0.4,0.55
5.6e-005,5.36836,-0.00195385,0.4,0.56
5.7e-005,5.46431,-0.0560592,0.4,0.57
5.8e-005,5.56014,-0.111014,0.4,0.58
5.9e-005,5.65586,-0.166817,0.4,0.59
6e-005,5.75147,-0.223463,0.4,0.6
6.1e-005,5.84697,-0.280951,0.4,0.61
6.2e-005,5.94235,-0.339277,0.4,0.62
6.3e-005,6.03761,-0.398439,0.4,0.63
6.4e-005,6.13275,-0.458434,0.4,0.64
6.5e-005,6.22777,-0.519259,0.4,0.65
6.6e-005,6.32267,-0.580911,0.4,0.66
6.7e-005,6.41745,-0.643387,0.4,0.67
6.8e-005,6.5121,-0.706685,0.4,0.68
6.9e-005,6.60662,-0.770801,0.4,0.69
7e-005,6.70101,-0.835733,0.4,0.7
7.1e-005,6.79527,-0.901477,0.4,0.71
7.2e-005,6.88941,-0.968031,0.4,0.72
7.3e-005,6.9834,-1.03539,0.4,0.73
7.4e-005,7.07726,-1.10356,0.4,0.74
7.5e-005,7.17099,-1.17252,0.4,0.75
7.6e-005,7.26457,-1.24228,0.4,0.76
7.7e-005,7.35802,-1.31284,0.4,0.77
7.8e-005,7.45132,-1.38419,0.4,0.78
7.9e-005,7.54448,-1.45633,0.4,0.79
8e-005,7.63749,-1.52925,0.4,0.8
8.1e-005,7.73036,-1.60296,0.4,0.81
8.2e-005,7.82308,-1.67745,0.4,0.82
8.3e-005,7.91565,-1.75271,0.4,0.83
8.4e-005,8.00807,-1.82875,0.4,0.84
8.5e-005,8.10033,-1.90556,0.4,0.85
8.6e-005,8.19244,-1.98313,0.4,0.86
8.7e-005,8.2844,-2.06147,0.4,0.87
8.8e-005,8.37619,-2.14057,0.4,0.88
8.9e-005,8.46783,-2.22043,0.4,0.89
9e-005,8.55931,-2.30105,0.4,0.9
9.1e-005,8.65063,-2.38241,0.4,0.91
9.2e-005,8.74178,-2.46453,0.4,0.92
9.3e-005,8.83277,-2.54739,0.4,0.93
9.4e-005,8.92359,-2.63099,0.4,0.94
9.5e-005,9.01424,-2.71533,0.4,0.95
9.6e-005,9.10473,-2.80041,0.4,0.96
9.7e-005,9.19504,-2.88622,0.4,0.97
9.8e-005,9.28518,-2.97277,0.4,0.98
9.9e-005,9.37515,-3.06004,0.4,0.99
0.0001,9.46494,-3.14803,0.4,1
0.000101,9.55455,-3.23674,0.4,0.99
0.000102,9.64399,-3.32617,0.4,0.98
0.000103,9.73325,-3.41631,0.4,0.97
0.000104,9.82232,-3.50717,0.4,0.96
0.000105,9.91122,-3.59873,0.4,0.95
0.000106,9.99993,-3.691,0.4,0.94
0.000107,10.0885,-3.78396,0.4,0.93
0.000108,10.1768,-3.87763,0.4,0.92
0.000109,10.2649,-3.97199,0.4,0.91
0.00011,10.3529,-4.06704,0.4,0.9
0.000111,10.4407,-4.16278,0.4,0.89
0.000112,10.5282,-4.2592,0.4,0.88
0.000113,10.6156,-4.3563,0.4,0.87
0.000114,10.7028,-4.45408,0.4,0.86
0.000115,10.7898,-4.55254,0.4,0.85
0.000116,10.8766,-4.65167,0.4,0.84
0.000117,10.9632,-4.75146,0.4,0.83
0.000118,11.0496,-4.85192,0.4,0.82
0.000119,11.1358,-4.95305,0.4,0.81
0.00012,11.2218,-5.05483,0.4,0.8
0.000121,11.3076,-5.15726,0.4,0.79
0.000122,11.3932,-5.26035,0.4,0.78
0.000123,11.4785,-5.36408,0.4,0.77
0.000124,11.5637,-5.46846,0.4,0.76
0.000125,11.6487,-5.57348,0.4,0.75
